Metadatum 1,Metadatum 2,Metadatum 3,Metadatum 4,Metadatum 5,Metadatum 6,Metadatum 7,Metadatum 8,Metadatum 9,Metadatum 10,Metadatum 11,Metadatum 12,Metadatum 13,Metadatum 14,Metadatum 15,Metadatum 16,Metadatum 17,Metadatum 18,Metadatum 19,Metadatum 20,Metadatum 21,Metadatum 22,Metadatum 23,Metadatum 24,Metadatum 25,Metadatum 26,Metadatum 27,Metadatum 28,Metadatum 29,Metadatum 30,Metadatum 31
,##ENSG00000214262,,,,,,##ENSG00000273058,##ENSG00000254578,##ENSG00000159445,##ENSG00000272668,##ENSG00000198715,,,##ENSG00000164949,,##ENSG00000234678,,,,,,,,,,,,,,
,##ENSG00000213064,,,,,,##ENSG00000116977,##ENSG00000179526,##ENSG00000178096,##ENSG00000246203,##ENSG00000163472,,,##ENSG00000104361,,##ENSG00000116857,,,,,,,,,,,,,,
,##ENSG00000227740,,,,,,##ENSG00000162923,##ENSG00000179091,##ENSG00000184678,##ENSG00000125459,##ENSG00000242252,,,##ENSG00000104341,,##ENSG00000176393,,,,,,,,,,,,,,
,##ENSG00000120341,,,,,,##ENSG00000223776,##ENSG00000167702,##ENSG00000203814,##ENSG00000163568,##ENSG00000160781,,,##ENSG00000253738,,##ENSG00000273478,,,,,,,,,,,,,,
,##ENSG00000197965,,,,,,##ENSG00000230325,##ENSG00000197858,##ENSG00000184260,##ENSG00000162706,##ENSG00000198952,,,##ENSG00000155100,,##ENSG00000249007,,,,,,,,,,,,,,
,##ENSG00000261504,,,,,,##ENSG00000119285,##ENSG00000196150,##ENSG00000143536,##ENSG00000225670,##ENSG00000163468,,,##ENSG00000104325,,##ENSG00000134375,,,,,,,,,,,,,,
,##ENSG00000143333,,,,,,##ENSG00000086619,##ENSG00000180921,##ENSG00000169509,,##ENSG00000163467,,,##ENSG00000253250,,##ENSG00000134369,,,,,,,,,,,,,,
,##ENSG00000143324,,,,,,##ENSG00000237991,##ENSG00000170631,##ENSG00000203819,,##ENSG00000117036,,,##ENSG00000180694,,##ENSG00000198700,,,,,,,,,,,,,,
,##ENSG00000143196,,,,,,##ENSG00000143771,##ENSG00000181097,##ENSG00000163209,,##ENSG00000116604,,,##ENSG00000169439,,##ENSG00000118194,,,,,,,,,,,,,,
,##ENSG00000162783,,,,,,##ENSG00000116984,##ENSG00000181135,##ENSG00000169474,,##ENSG00000143294,,,##ENSG00000155099,,##ENSG00000081277,,,,,,,,,,,,,,
,##ENSG00000243155,,,,,,##ENSG00000077585,##ENSG00000178814,##ENSG00000131791,,##ENSG00000229953,,,##ENSG00000156469,,##ENSG00000163431,,,,,,,,,,,,,,
,##ENSG00000135828,,,,,,##ENSG00000185220,##ENSG00000204791,##ENSG00000271721,,##ENSG00000132692,,,##ENSG00000156471,,##ENSG00000159173,,,,,,,,,,,,,,
,##ENSG00000116132,,,,,,##ENSG00000182118,##ENSG00000254741,##ENSG00000237188,,##ENSG00000132688,,,##ENSG00000156467,,##ENSG00000231871,,,,,,,,,,,,,,
